headline,url,publisher,date,stock
NVDA rises after earnings beat; analysts raise outlook,https://example-news.test/a/202400,Reuters,2024-01-02 09:29:00-04:00,NVDA
Price target lifted on AAPL amid strong cloud growth,https://example-news.test/a/202402,Bloomberg,2024-01-02 13:16:00-04:00,AAPL
AAPL slides as revenue misses Wall Street consensus,https://example-news.test/a/202401,FT,2024-01-02 14:52:00-04:00,AAPL
FDA approval speculation lifts sentiment around NVDA suppliers,https://example-news.test/a/202403,FT,2024-01-03 11:43:00-04:00,NVDA
Sector rotation favors MSFT as yields retreat,https://example-news.test/a/202405,Bloomberg,2024-01-03 17:21:00-04:00,MSFT
Options traders pile into weekly calls on NVDA,https://example-news.test/a/202404,Reuters,2024-01-03 18:59:00-04:00,NVDA
JPM rises after earnings beat; analysts raise outlook,https://example-news.test/a/202408,Barrons,2024-01-04 19:51:00-04:00,JPM
Macro jitters weigh on mega-cap peers including AMZN,https://example-news.test/a/202407,Reuters,2024-01-04 20:20:00-04:00,AMZN
FDA approval speculation lifts sentiment around GOOGL suppliers,https://example-news.test/a/202411,Bloomberg,2024-01-05 10:14:00-04:00,GOOGL
Price target lifted on JPM amid strong cloud growth,https://example-news.test/a/202410,WSJ,2024-01-05 13:08:00-04:00,JPM
AAPL slides as revenue misses Wall Street consensus,https://example-news.test/a/202409,Barrons,2024-01-05 18:20:00-04:00,AAPL
Options traders pile into weekly calls on AAPL,https://example-news.test/a/202412,Barrons,2024-01-06 13:30:00-04:00,AAPL
Sector rotation favors GOOGL as yields retreat,https://example-news.test/a/202413,tips@anonymous.example,2024-01-06 15:50:00-04:00,GOOGL
Macro jitters weigh on mega-cap peers including MSFT,https://example-news.test/a/202415,Bloomberg,2024-01-07 08:51:00-04:00,MSFT
MSFT rises after earnings beat; analysts raise outlook,https://example-news.test/a/202416,Barrons,2024-01-07 12:13:00-04:00,MSFT
AAPL slides as revenue misses Wall Street consensus,https://example-news.test/a/202417,Reuters,2024-01-07 17:49:00-04:00,AAPL
Options traders pile into weekly calls on META,https://example-news.test/a/202420,MarketWatch,2024-01-08 11:19:00-04:00,META
Price target lifted on META amid strong cloud growth,https://example-news.test/a/202418,investor_research@goldman.example,2024-01-08 11:29:00-04:00,META
FDA approval speculation lifts sentiment around AAPL suppliers,https://example-news.test/a/202419,CNBC,2024-01-08 18:10:00-04:00,AAPL
Macro jitters weigh on mega-cap peers including NVDA,https://example-news.test/a/202423,Bloomberg,2024-01-09 09:25:00-04:00,NVDA
Sector rotation favors META as yields retreat,https://example-news.test/a/202421,CNBC,2024-01-09 09:50:00-04:00,META
Insider filings show sizable sale at AAPL,https://example-news.test/a/202422,FT,2024-01-09 16:49:00-04:00,AAPL
XOM rises after earnings beat; analysts raise outlook,https://example-news.test/a/202424,MarketWatch,2024-01-10 09:47:00-04:00,XOM
AMZN slides as revenue misses Wall Street consensus,https://example-news.test/a/202425,Reuters,2024-01-10 16:08:00-04:00,AMZN
Price target lifted on META amid strong cloud growth,https://example-news.test/a/202426,Reuters,2024-01-10 17:49:00-04:00,META
Sector rotation favors MSFT as yields retreat,https://example-news.test/a/202429,CNBC,2024-01-11 05:01:00-04:00,MSFT
